iter	Passed	Remaining
696	12395	23173
697	12412	23153
698	12429	23134
699	12446	23115
700	12468	23104
701	12496	23106
702	12525	23108
703	12552	23108
704	12579	23107
705	12600	23094
706	12616	23073
707	12632	23052
708	12649	23033
709	12666	23014
710	12694	23013
711	12714	23000
712	12731	22980
713	12747	22960
714	12765	22941
715	12781	22920
716	12799	22904
717	12817	22885
718	12835	22868
719	12850	22845
720	12869	22828
721	12886	22809
722	12914	22810
723	12951	22825
724	12984	22835
725	13014	22837
726	13040	22834
727	13064	22827
728	13092	22827
729	13119	22824
730	13139	22809
731	13163	22801
732	13185	22791
733	13202	22771
734	13228	22767
735	13255	22765
736	13277	22753
737	13294	22734
738	13312	22715
739	13329	22696
740	13348	22680
741	13375	22677
742	13402	22674
743	13424	22663
744	13441	22642
745	13459	22624
746	13476	22604
747	13496	22590
748	13513	22570
749	13536	22561
750	13563	22557
751	13588	22551
752	13611	22541
753	13639	22538
754	13661	22528
755	13678	22507
756	13695	22488
757	13717	22476
758	13740	22465
759	13758	22448
760	13777	22432
761	13799	22419
762	13821	22408
763	13838	22387
764	13858	22372
765	13876	22354
766	13893	22335
767	13912	22318
768	13939	22314
769	13958	22297
770	13982	22288
771	14017	22297
772	14048	22299
773	14067	22282
774	14085	22264
775	14104	22247
776	14122	22228
777	14140	22209
778	14159	22192
779	14178	22176
780	14197	22159
781	14215	22140
782	14231	22119
783	14247	22098
784	14265	22079
785	14283	22060
786	14300	22041
787	14317	22022
788	14334	22001
789	14351	21981
790	14368	21961
791	14385	21941
792	14403	21923
793	14428	21915
794	14453	21907
795	14472	21891
796	14489	21870
797	14505	21848
798	14522	21829
799	14541	21811
800	14560	21795
801	14577	21774
802	14593	21753
803	14610	21734
804	14626	21713
805	14645	21696
806	14664	21679
807	14684	21663
808	14701	21643
809	14719	21624
810	14735	21603
811	14752	21583
812	14769	21563
813	14786	21543
814	14806	21528
815	14831	21520
816	14848	21500
817	14869	21486
818	14887	21467
819	14903	21447
820	14923	21430
821	14943	21415
822	14971	21411
823	14990	21393
824	15015	21385
825	15036	21371
826	15072	21378
827	15101	21374
828	15120	21358
829	15138	21339
830	15165	21334
831	15187	21320
832	15204	21300
833	15220	21280
834	15236	21258
835	15257	21243
836	15282	21234
837	15299	21214
838	15315	21193
839	15331	21171
840	15346	21149
841	15365	21131
842	15381	21111
843	15402	21096
844	15420	21077
845	15437	21057
846	15454	21038
847	15475	21023
848	15500	21013
849	15522	21001
850	15540	20983
851	15558	20963
852	15575	20943
853	15593	20924
854	15611	20906
855	15629	20887
856	15652	20875
857	15681	20871
858	15701	20855
859	15717	20835
860	15734	20815
861	15751	20794
862	15770	20777
863	15790	20761
864	15811	20746
865	15827	20725
866	15844	20705
867	15861	20685
868	15881	20670
869	15899	20651
870	15922	20638
871	15941	20621
872	15958	20601
873	15974	20579
874	15991	20560
875	16007	20539
876	16024	20519
877	16041	20500
878	16058	20479
879	16076	20460
880	16095	20443
881	16129	20445
882	16157	20439
883	16182	20429
884	16202	20413
885	16218	20392
886	16237	20374
887	16256	20356
888	16273	20336
889	16291	20318
890	16308	20298
891	16325	20278
892	16344	20260
893	16360	20239
894	16377	20220
895	16394	20200
896	16412	20181
897	16431	20164
898	16449	20145
899	16470	20130
900	16486	20109
901	16503	20089
902	16519	20068
903	16541	20054
904	16568	20046
905	16586	20028
906	16604	20009
907	16623	19991
908	16639	19970
909	16657	19952
910	16674	19932
911	16691	19912
912	16708	19893
913	16726	19874
914	16742	19853
915	16760	19834
916	16778	19815
917	16796	19797
918	16815	19779
919	16831	19759
920	16849	19740
921	16866	19720
922	16884	19701
923	16901	19682
924	16921	19665
925	16938	19645
926	16953	19623
927	16973	19606
928	16990	19588
929	17009	19570
930	17026	19549
931	17042	19529
932	17058	19507
933	17074	19487
934	17093	19470
935	17112	19452
936	17133	19437
937	17179	19450
938	17210	19446
939	17237	19438
940	17262	19427
941	17279	19407
942	17299	19390
943	17316	19371
944	17333	19351
945	17349	19330
946	17365	19309
947	17388	19296
948	17408	19279
949	17425	19259
950	17441	19238
951	17456	19216
952	17473	19196
953	17491	19178
954	17508	19158
955	17524	19137
956	17542	19118
957	17570	19111
958	17595	19100
959	17622	19090
960	17639	19071
961	17657	19052
